year,Month,Day,Max at 7h (�F),Min at 7h (�F),Max at 18h (�F),Min at 18h (�F),max_temp,Min at 7h (�C),Max at 18h (�C),Min at 18h (�C)
1921,1,1,49,46,NA,NA,9.4,7.8,NA,NA
1921,1,2,49,42,NA,NA,9.4,5.6,NA,NA
1921,1,3,54,42,NA,NA,12.2,5.6,NA,NA
1921,1,4,46,43,NA,NA,7.8,6.1,NA,NA
1921,1,5,49,40,NA,NA,9.4,4.4,NA,NA
1921,1,6,52,41,NA,NA,11.1,5,NA,NA
1921,1,7,45,37,NA,NA,7.2,2.8,NA,NA
1921,1,8,52,38,NA,NA,11.1,3.3,NA,NA
1921,1,9,51,38,NA,NA,10.6,3.3,NA,NA
1921,1,10,45,45,NA,NA,7.2,7.2,NA,NA
1921,1,11,44,38,NA,NA,6.7,3.3,NA,NA
1921,1,12,43,35,NA,NA,6.1,1.7,NA,NA
1921,1,13,43,36,NA,NA,6.1,2.2,NA,NA
1921,1,14,44,37,NA,NA,6.7,2.8,NA,NA
1921,1,15,52,35,NA,NA,11.1,1.7,NA,NA
1921,1,16,52,49,NA,NA,11.1,9.4,NA,NA
1921,1,17,48,42,NA,NA,8.9,5.6,NA,NA
1921,1,18,45,38,NA,NA,7.2,3.3,NA,NA
1921,1,19,49,32,NA,NA,9.4,0,NA,NA
1921,1,20,50,43,NA,NA,10,6.1,NA,NA
1921,1,21,53,47,NA,NA,11.7,8.3,NA,NA
1921,1,22,49,43,NA,NA,9.4,6.1,NA,NA
1921,1,23,48,38,NA,NA,8.9,3.3,NA,NA
1921,1,24,52,41,NA,NA,11.1,5,NA,NA
1921,1,25,50,47,NA,NA,10,8.3,NA,NA
1921,1,26,48,45,NA,NA,8.9,7.2,NA,NA
1921,1,27,50,43,NA,NA,10,6.1,NA,NA
1921,1,28,52,41,NA,NA,11.1,5,NA,NA
1921,1,29,50,48,NA,NA,10,8.9,NA,NA
1921,1,30,44,43,NA,NA,6.7,6.1,NA,NA
1921,1,31,42,39,NA,NA,5.6,3.9,NA,NA
1921,2,1,42,39,NA,NA,5.6,3.9,NA,NA
1921,2,2,47,39,NA,NA,8.3,3.9,NA,NA
1921,2,3,44,37,NA,NA,6.7,2.8,NA,NA
1921,2,4,44,41,NA,NA,6.7,5,NA,NA
1921,2,5,43,39,NA,NA,6.1,3.9,NA,NA
1921,2,6,42,36,NA,NA,5.6,2.2,NA,NA
