year,Month,Day,Max at 7h (�F),Min at 7h (�F),max temp,Min at 7h (�C)
1872,1,1,NA,NA,NA,NA
1872,1,2,NA,NA,NA,NA
1872,1,3,NA,NA,NA,NA
1872,1,4,NA,NA,NA,NA
1872,1,5,NA,NA,NA,NA
1872,1,6,NA,NA,NA,NA
1872,1,7,NA,NA,NA,NA
1872,1,8,NA,NA,NA,NA
1872,1,9,NA,NA,NA,NA
1872,1,10,NA,NA,NA,NA
1872,1,11,NA,NA,NA,NA
1872,1,12,NA,NA,NA,NA
1872,1,13,50,NA,10,NA
1872,1,14,48,37,8.9,2.8
1872,1,15,48,40,8.9,4.4
1872,1,16,51,35,10.6,1.7
1872,1,17,52,47,11.1,8.3
1872,1,18,50,37,10,2.8
1872,1,19,43,35,6.1,1.7
1872,1,20,44,35,6.7,1.7
1872,1,21,53,34,11.7,1.1
1872,1,22,49,39,9.4,3.9
1872,1,23,48,40,8.9,4.4
1872,1,24,47,38,8.3,3.3
1872,1,25,47,40,8.3,4.4
1872,1,26,46,42,7.8,5.6
1872,1,27,48,36,8.9,2.2
1872,1,28,51,40,10.6,4.4
1872,1,29,52,46,11.1,7.8
1872,1,30,52,47,11.1,8.3
1872,1,31,52,46,11.1,7.8
1872,2,1,51,45,10.6,7.2
1872,2,2,49,41,9.4,5
1872,2,3,48,42,8.9,5.6
1872,2,4,50,41,10,5
1872,2,5,48,41,8.9,5
1872,2,6,49,41,9.4,5
1872,2,7,49,41,9.4,5
1872,2,8,NA,41,NA,5
1872,2,9,52,46,11.1,7.8
1872,2,10,50,47,10,8.3
1872,2,11,50,46,10,7.8
1872,2,12,52,45,11.1,7.2
1872,2,13,51,45,10.6,7.2
1872,2,14,50,45,10,7.2
1872,2,15,49,45,9.4,7.2
1872,2,16,49,40,9.4,4.4
1872,2,17,49,39,9.4,3.9
1872,2,18,47,38,8.3,3.3
1872,2,19,48,35,8.9,1.7
1872,2,20,49,37,9.4,2.8
1872,2,21,50,47,10,8.3
1872,2,22,52,47,11.1,8.3
1872,2,23,52,39,11.1,3.9
1872,2,24,52,45,11.1,7.2
1872,2,25,49,42,9.4,5.6
1872,2,26,51,40,10.6,4.4
1872,2,27,NA,40,NA,4.4
1872,2,28,NA,NA,NA,NA
1872,2,29,NA,NA,NA,NA
1872,3,1,NA,NA,NA,NA
1872,3,2,NA,NA,NA,NA
1872,3,3,NA,NA,NA,NA
1872,3,4,NA,NA,NA,NA
1872,3,5,NA,NA,NA,NA
1872,3,6,NA,NA,NA,NA
1872,3,7,NA,NA,NA,NA
1872,3,8,NA,NA,NA,NA
1872,3,9,54,NA,12.2,NA
1872,3,10,52,49,11.1,9.4
1872,3,11,53,48,11.7,8.9
1872,3,12,52,45,11.1,7.2
1872,3,13,52,43,11.1,6.1
1872,3,14,52,42,11.1,5.6
1872,3,15,51,42,10.6,5.6
1872,3,16,55,42,12.8,5.6
1872,3,17,51,42,10.6,5.6
1872,3,18,52,41,11.1,5
1872,3,19,53,43,11.7,6.1
1872,3,20,52,45,11.1,7.2
1872,3,21,44,37,6.7,2.8
1872,3,22,44,33,6.7,0.6
1872,3,23,43,35,6.1,1.7
1872,3,24,42,34,5.6,1.1
1872,3,25,45,32,7.2,0
1872,3,26,46,32,7.8,0
1872,3,27,53,35,11.7,1.7
1872,3,28,54,42,12.2,5.6
1872,3,29,57,46,13.9,7.8
1872,3,30,57,46,13.9,7.8
1872,3,31,56,45,13.3,7.2
1872,4,1,54,46,12.2,7.8
1872,4,2,52,41,11.1,5
1872,4,3,54,38,12.2,3.3
1872,4,4,56,36,13.3,2.2
1872,4,5,57,38,13.9,3.3
1872,4,6,57,40,13.9,4.4
1872,4,7,57,46,13.9,7.8
1872,4,8,58,50,14.4,10
1872,4,9,59,45,15,7.2
1872,4,10,58,46,14.4,7.8
1872,4,11,56,47,13.3,8.3
1872,4,12,56,42,13.3,5.6
1872,4,13,59,41,15,5
1872,4,14,60,42,15.6,5.6
1872,4,15,62,42,16.7,5.6
1872,4,16,57,42,13.9,5.6
1872,4,17,57,42,13.9,5.6
1872,4,18,55,40,12.8,4.4
1872,4,19,50,37,10,2.8
1872,4,20,49,39,9.4,3.9
1872,4,21,48,37,8.9,2.8
1872,4,22,49,37,9.4,2.8
1872,4,23,53,37,11.7,2.8
1872,4,24,52,38,11.1,3.3
1872,4,25,52,43,11.1,6.1
1872,4,26,51,42,10.6,5.6
1872,4,27,57,43,13.9,6.1
1872,4,28,58,40,14.4,4.4
1872,4,29,59,44,15,6.7
1872,4,30,NA,45,NA,7.2
1872,5,1,58,NA,14.4,NA
1872,5,2,60,49,15.6,9.4
1872,5,3,59,47,15,8.3
1872,5,4,57,44,13.9,6.7
1872,5,5,57,43,13.9,6.1
1872,5,6,58,42,14.4,5.6
1872,5,7,56,42,13.3,5.6
1872,5,8,55,42,12.8,5.6
1872,5,9,54,42,12.2,5.6
1872,5,10,59,41,15,5
1872,5,11,57,40,13.9,4.4
1872,5,12,56,39,13.3,3.9
1872,5,13,59,39,15,3.9
1872,5,14,64,39,17.8,3.9
1872,5,15,65,49,18.3,9.4
1872,5,16,66,50,18.9,10
1872,5,17,58,47,14.4,8.3
1872,5,18,58,44,14.4,6.7
1872,5,19,54,39,12.2,3.9
1872,5,20,54,39,12.2,3.9
1872,5,21,58,41,14.4,5
1872,5,22,55,41,12.8,5
1872,5,23,56,42,13.3,5.6
1872,5,24,58,43,14.4,6.1
1872,5,25,64,50,17.8,10
1872,5,26,66,60,18.9,15.6
1872,5,27,68,48,20,8.9
1872,5,28,67,49,19.4,9.4
1872,5,29,65,50,18.3,10
1872,5,30,62,49,16.7,9.4
