year,Month,Day,Max at 7h (�F),Min at 7h  (�F),Max at 18h  (�F),Min at 18h  (�F),max temp,Min at 7h (�C),Max at 18h (�C),Min at 18h (�C)
1921,1,1,52,48,NA,NA,11.1,8.9,NA,NA
1921,1,2,50,47,NA,NA,10,8.3,NA,NA
1921,1,3,53,41,NA,NA,11.7,5,NA,NA
1921,1,4,54,50,NA,NA,12.2,10,NA,NA
1921,1,5,51,41,NA,NA,10.6,5,NA,NA
1921,1,6,53,45,NA,NA,11.7,7.2,NA,NA
1921,1,7,50,37,NA,NA,10,2.8,NA,NA
1921,1,8,54,39,NA,NA,12.2,3.9,NA,NA
1921,1,9,55,45,NA,NA,12.8,7.2,NA,NA
1921,1,10,53,52,NA,NA,11.7,11.1,NA,NA
1921,1,11,50,41,NA,NA,10,5,NA,NA
1921,1,12,48,42,NA,NA,8.9,5.6,NA,NA
1921,1,13,44,36,NA,NA,6.7,2.2,NA,NA
1921,1,14,50,32,NA,NA,10,0,NA,NA
1921,1,15,51,35,NA,NA,10.6,1.7,NA,NA
1921,1,16,54,50,NA,NA,12.2,10,NA,NA
1921,1,17,55,45,NA,NA,12.8,7.2,NA,NA
1921,1,18,52,50,NA,NA,11.1,10,NA,NA
1921,1,19,50,41,NA,NA,10,5,NA,NA
1921,1,20,53,45,NA,NA,11.7,7.2,NA,NA
1921,1,21,51,47,NA,NA,10.6,8.3,NA,NA
1921,1,22,49,48,NA,NA,9.4,8.9,NA,NA
1921,1,23,50,41,NA,NA,10,5,NA,NA
1921,1,24,53,44,NA,NA,11.7,6.7,NA,NA
1921,1,25,53,49,NA,NA,11.7,9.4,NA,NA
1921,1,26,53,46,NA,NA,11.7,7.8,NA,NA
1921,1,27,57,45,NA,NA,13.9,7.2,NA,NA
1921,1,28,53,51,NA,NA,11.7,10.6,NA,NA
1921,1,29,52,50,NA,NA,11.1,10,NA,NA
1921,1,30,50,41,NA,NA,10,5,NA,NA
1921,1,31,47,36,NA,NA,8.3,2.2,NA,NA
1921,2,1,49,35,NA,NA,9.4,1.7,NA,NA
1921,2,2,49,40,NA,NA,9.4,4.4,NA,NA
1921,2,3,53,46,NA,NA,11.7,7.8,NA,NA
1921,2,4,51,47,NA,NA,10.6,8.3,NA,NA
1921,2,5,44,41,NA,NA,6.7,5,NA,NA
1921,2,6,46,40,NA,NA,7.8,4.4,NA,NA
1921,2,7,47,43,NA,NA,8.3,6.1,NA,NA
1921,2,8,49,43,NA,NA,9.4,6.1,NA,NA
1921,2,9,48,37,NA,NA,8.9,2.8,NA,NA
1921,2,10,48,35,NA,NA,8.9,1.7,NA,NA
1921,2,11,45,34,NA,NA,7.2,1.1,NA,NA
1921,2,12,49,35,NA,NA,9.4,1.7,NA,NA
1921,2,13,49,42,NA,NA,9.4,5.6,NA,NA
1921,2,14,52,43,NA,NA,11.1,6.1,NA,NA
1921,2,15,51,45,NA,NA,10.6,7.2,NA,NA
1921,2,16,50,45,NA,NA,10,7.2,NA,NA
1921,2,17,52,45,NA,NA,11.1,7.2,NA,NA
1921,2,18,47,39,NA,NA,8.3,3.9,NA,NA
1921,2,19,48,39,NA,NA,8.9,3.9,NA,NA
1921,2,20,47,42,NA,NA,8.3,5.6,NA,NA
1921,2,21,49,39,NA,NA,9.4,3.9,NA,NA
1921,2,22,53,45,NA,NA,11.7,7.2,NA,NA
1921,2,23,52,45,NA,NA,11.1,7.2,NA,NA
1921,2,24,52,44,NA,NA,11.1,6.7,NA,NA
1921,2,25,51,40,NA,NA,10.6,4.4,NA,NA
1921,2,26,52,37,NA,NA,11.1,2.8,NA,NA
1921,2,27,48,38,NA,NA,8.9,3.3,NA,NA
1921,2,28,50,40,NA,NA,10,4.4,NA,NA
1921,3,1,48,46,52,47,8.9,7.8,11.1,8.3
1921,3,2,49,38,48,39,9.4,3.3,8.9,3.9
1921,3,3,46,40,49,45,7.8,4.4,9.4,7.2
1921,3,4,50,48,54,44,10,8.9,12.2,6.7
1921,3,5,50,46,51,45,10,7.8,10.6,7.2
1921,3,6,47,43,46,40,8.3,6.1,7.8,4.4
1921,3,7,41,32,47,32,5,0,8.3,0
1921,3,8,48,42,50,42,8.9,5.6,10,5.6
1921,3,9,49,47,52,48,9.4,8.3,11.1,8.9
1921,3,10,50,48,52,44,10,8.9,11.1,6.7
1921,3,11,44,37,50,39,6.7,2.8,10,3.9
1921,3,12,48,39,50,45,8.9,3.9,10,7.2
1921,3,13,49,43,50,43,9.4,6.1,10,6.1
1921,3,14,47,41,48,44,8.3,5,8.9,6.7
1921,3,15,49,41,53,49,9.4,5,11.7,9.4
1921,3,16,52,50,52,47,11.1,10,11.1,8.3
1921,3,17,49,45,52,45,9.4,7.2,11.1,7.2
1921,3,18,45,38,49,39,7.2,3.3,9.4,3.9
1921,3,19,46,41,54,44,7.8,5,12.2,6.7
1921,3,20,49,44,51,47,9.4,6.7,10.6,8.3
1921,3,21,50,48,55,50,10,8.9,12.8,10
1921,3,22,53,46,51,46,11.7,7.8,10.6,7.8
1921,3,23,50,47,51,48,10,8.3,10.6,8.9
1921,3,24,51,49,53,49,10.6,9.4,11.7,9.4
1921,3,25,50,48,50,47,10,8.9,10,8.3
1921,3,26,47,40,50,40,8.3,4.4,10,4.4
1921,3,27,46,41,51,43,7.8,5,10.6,6.1
1921,3,28,50,43,52,46,10,6.1,11.1,7.8
1921,3,29,47,33,50,36,8.3,0.6,10,2.2
1921,3,30,47,40,53,43,8.3,4.4,11.7,6.1
1921,3,31,52,42,53,48,11.1,5.6,11.7,8.9
1921,4,1,52,46,54,47,11.1,7.8,12.2,8.3
