year,temp,co2,sea_ice,temp_ireland,rainfall_ireland
-818144,211.4,,,,
-817353,211.4,,,,
-816556,211.3,,,,
-815744,211.2,,,,
-814922,211.0,,,,
-814088,210.9,,,,
-813279,211.2,,,,
-812473,211.2,,,,
-811658,211.1,,,,
-810834,211.0,,,,
-810000,210.9,,,,
-809135,210.5,,,,
-808252,210.3,,,,
-807398,210.7,,,,
-806467,209.7,,,,
-805498,209.3,,,,
-804565,209.7,,,,
-803719,,207.29,,,
-803624,209.6,,,,
-803182,,202.23,,,
-802712,210.0,,,,
-802573,,204.86,,,
-802060,,207.5,,,
-801975,,202.92,,,
-801769,209.6,,,,
-801759,,202.65,,,
-800922,,198.66,,,
-800830,209.6,,,,
-799883,209.6,,,,
-799286,,198.68,,,
-798968,209.9,,,,
-798078,210.2,,,,
-797262,211.1,,,,
-796731,,200.49,,,
-796562,,191.0,,,
-796507,211.9,,,,
-795795,212.5,,,,
-795429,,197.91,,,
-795149,,188.4,,,
-795101,212.7,,,,
-794903,,198.79,,,
-794517,,189.3,,,
-794441,213.2,,,,
-793827,214.0,,,,
-793737,,204.62,,,
-793252,,195.2,,,
-793246,214.5,,,,
-793172,,208.79,,,
-792695,215.1,,,,
-792658,,199.4,,,
-792167,215.5,,,,
-791903,,218.39,,,
-791649,215.7,,,,
-791569,,213.36,,,
-791310,,209.0,,,
-791159,216.3,,,,
-790993,,204.0,,,
-790703,217.0,,,,
-790667,,214.45,,,
-790264,217.4,,,,
-790131,,205.1,,,
-790081,,224.69,,,
-789802,216.9,,,,
-789541,,215.4,,,
-789338,216.8,,,,
-789107,,230.55,,,
-788868,216.7,,,,
-788689,,227.38,,,
-788588,,221.3,,,
-788370,216.1,,,,
-788203,,218.2,,,
-788003,,235.49,,,
-787869,216.0,,,,
-787544,,238.64,,,
-787431,,226.3,,,
-787353,215.7,,,,
-786937,,229.5,,,
-786846,215.9,,,,
-786742,,257.02,,,
-786529,,257.2,,,
-786317,215.5,,,,
-786083,,247.9,,,
-785855,,248.1,,,
-785854,,266.0,,,
-785782,215.3,,,,
-785406,,269.36,,,
-785257,215.5,,,,
-785126,,256.9,,,
-784734,215.6,,,,
-784637,,260.3,,,
-784613,,264.35,,,
-784240,,262.23,,,
-784209,215.5,,,,
-783839,,255.4,,,
-783675,215.4,,,,
-783569,,259.66,,,
-783463,,253.3,,,
-783124,215.0,,,,
-783084,,255.85,,,
-782742,,250.7,,,
-782572,215.0,,,,
-782312,,260.92,,,
-782197,,246.9,,,
-782020,215.0,,,,
-781454,214.8,,,,
-781313,,252.1,,,
-781249,,255.02,,,
-780859,214.2,,,,
-780778,,257.44,,,
-780243,213.9,,,,
-780109,,246.2,,,
-779937,,251.51,,,
-779613,,257.21,,,
-779601,213.4,,,,
-779585,,248.7,,,
-778944,213.2,,,,
-778769,,252.52,,,
-778662,,242.8,,,
-778318,,248.5,,,
-778304,213.5,,,,
-778239,,254.43,,,
-777684,213.8,,,,
-777418,,254.69,,,
-777414,,243.9,,,
-777108,,254.93,,,
-777095,214.3,,,,
-776848,,245.8,,,
-776485,214.0,,,,
-776283,,252.46,,,
-775950,,246.1,,,
-775836,213.3,,,,
-775732,,247.3,,,
-775606,,246.3,,,
-775139,212.6,,,,
-774833,,248.92,,,
-774686,,243.9,,,
-774399,212.0,,,,
-774382,,245.32,,,
-774087,,238.8,,,
-773635,211.6,,,,
-773588,,241.74,,,
-773101,,240.5,,,
-773009,,238.39,,,
-772891,211.9,,,,
-772598,,236.9,,,
-772202,212.7,,,,
-772094,,239.23,,,
-771734,,237.78,,,
-771730,,233.3,,,
-771539,213.1,,,,
-771300,,246.03,,,
-771093,,230.0,,,
-771046,,243.85,,,
-770901,213.5,,,,
-770788,,246.49,,,
-770525,,243.89,,,
-770250,213.3,,,,
-770225,,239.71,,,
-770126,,230.9,,,
-769863,,234.24,,,
-769758,,229.5,,,
-769582,213.0,,,,
-769569,,236.32,,,
-769310,,237.7,,,
-769071,,229.56,,,
-769044,,235.6,,,
-768877,212.4,,,,
-768774,,238.2,,,
-768649,,230.63,,,
-768497,,235.6,,,
-768183,,231.5,,,
-768114,211.6,,,,
-767837,,226.0,,,
-767701,,225.87,,,
-767564,,228.1,,,
-767316,211.2,,,,
-767111,,221.64,,,
-767100,,221.4,,,
-766705,,222.4,,,
-766503,211.0,,,,
-766167,,223.82,,,
-765797,,224.86,,,
-765787,,217.7,,,
-765708,211.2,,,,
-765146,,213.5,,,
-764977,212.1,,,,
-764859,,230.62,,,
-764265,212.3,,,,
-764238,,232.12,,,
-764160,,215.7,,,
-763901,,229.41,,,
-763785,,216.8,,,
-763637,,233.66,,,
-763570,212.6,,,,
-763232,,222.93,,,
-762901,212.9,,,,
-762883,,222.6,,,
-762727,,223.89,,,
-762299,,224.1,,,
-762263,213.4,,,,
-761984,,221.4,,,
-761821,,219.95,,,
-761736,,225.7,,,
-761592,212.9,,,,
-761369,,215.0,,,
-761152,,214.0,,,
-760921,,216.0,,,
-760863,212.0,,,,
-760216,,214.69,,,
-760114,,212.0,,,
-760064,211.1,,,,
-759914,,216.64,,,
-759503,,206.1,,,
-759241,210.8,,,,
-758990,,222.71,,,
-758566,,225.62,,,
-758550,,206.9,,,
-758399,210.6,,,,
-758252,,208.8,,,
-758158,,225.37,,,
-757928,,223.02,,,
-757612,,226.94,,,
-757534,210.3,,,,
-757356,,214.9,,,
-757186,,222.72,,,
-756933,,217.9,,,
-756658,210.1,,,,
-756525,,217.6,,,
-756412,,218.35,,,
-756309,,215.3,,,
-756012,,219.2,,,
-755835,,213.61,,,
-755774,210.0,,,,
-755611,,215.0,,,
-754921,,210.7,,,
-754901,,209.45,,,
-754887,210.0,,,,
-754616,,208.1,,,
-754407,,206.0,,,
-753988,209.9,,,,
-753637,,203.3,,,
-753545,,201.9,,,
-753291,,200.5,,,
-753165,,199.05,,,
-753089,209.9,,,,
-752444,,195.8,,,
-752198,210.0,,,,
-752034,,191.5,,,
-751985,,203.9,,,
-751539,,195.43,,,
-751322,210.1,,,,
-751028,,196.5,,,
-750655,,188.0,,,
-750616,,197.5,,,
-750434,210.0,,,,
-750024,,193.55,,,
-749880,,190.1,,,
-749542,210.0,,,,
-749351,,186.2,,,
-749086,,191.3,,,
-748756,,192.08,,,
-748641,209.8,,,,
-748526,,184.0,,,
-748244,,184.8,,,
-747864,,190.17,,,
-747745,209.9,,,,
-747451,,182.9,,,
-747313,,188.68,,,
-746963,,181.4,,,
-746871,210.2,,,,
-746387,,187.54,,,
-746151,,180.4,,,
-745990,,187.95,,,
-745969,209.8,,,,
-745809,,180.8,,,
-745227,,187.92,,,
-745160,,180.8,,,
-745072,209.9,,,,
-744693,,183.1,,,
-744670,,190.24,,,
-744188,210.0,,,,
-743886,,180.2,,,
-743721,,187.29,,,
-743277,209.7,,,,
-742893,,182.0,,,
-742573,,188.97,,,
-742404,,181.2,,,
-742348,209.5,,,,
-742009,,188.18,,,
-741639,,180.4,,,
-741410,209.4,,,,
-741283,,181.7,,,
-741112,,187.33,,,
-740695,,188.65,,,
-740608,,182.3,,,
-740505,209.8,,,,
-740125,,177.9,,,
-739924,,189.14,,,
-739615,210.0,,,,
-739380,,184.77,,,
-739357,,176.6,,,
-739071,,178.6,,,
-738723,209.9,,,,
-738511,,183.39,,,
-738327,,178.9,,,
-738156,,185.4,,,
-737892,,185.0,,,
-737839,210.0,,,,
-737225,,185.61,,,
-737187,,197.8,,,
-736964,210.1,,,,
-736894,,200.3,,,
-736631,,191.74,,,
-736322,,206.5,,,
-736134,210.7,,,,
-735939,,210.6,,,
-735710,,204.52,,,
-735349,211.2,,,,
-735320,,206.92,,,
-735316,,211.3,,,
-735084,,208.1,,,
-734653,212.5,,,,
-734572,,213.14,,,
-734510,,209.7,,,
-734157,,217.19,,,
-734129,,204.1,,,
-733986,212.9,,,,
-733509,,201.3,,,
-733460,,217.88,,,
-733358,213.5,,,,
-733217,,201.7,,,
-733185,,214.66,,,
-732701,213.0,,,,
-732654,,207.4,,,
-732513,,216.15,,,
-732273,,205.3,,,
-732078,213.6,,,,
-732072,,210.6,,,
-731593,,204.4,,,
-731500,214.4,,,,
-731379,,207.72,,,
-731311,,203.9,,,
-731044,,208.11,,,
-730851,213.1,,,,
-730598,,205.9,,,
-730372,,213.73,,,
-730252,214.0,,,,
-730191,,203.8,,,
-729911,,211.62,,,
-729640,213.7,,,,
-729379,,204.9,,,
-729234,,210.7,,,
-729012,213.4,,,,
-728999,,204.1,,,
-728958,,210.16,,,
-728426,214.2,,,,
-728349,,204.0,,,
-728310,,212.17,,,
-727887,,210.01,,,
-727819,213.8,,,,
-727214,213.8,,,,
-727038,,211.08,,,
-726971,,205.4,,,
-726644,,210.24,,,
-726618,,205.1,,,
-726575,213.2,,,,
-725948,,210.07,,,
-725854,212.0,,,,
-725782,,205.5,,,
-725242,,204.5,,,
-725126,211.9,,,,
-724627,,211.43,,,
-724461,212.8,,,,
-724372,,208.1,,,
-724300,,211.08,,,
-723987,,206.6,,,
-723799,212.8,,,,
-723524,,211.49,,,
-723110,212.4,,,,
-723109,,206.3,,,
-723025,,210.48,,,
-722495,,210.3,,,
-722412,212.3,,,,
-722192,,214.01,,,
-721830,,212.55,,,
-721701,212.1,,,,
-721514,,213.2,,,
-721183,,213.4,,,
-721045,,212.11,,,
-720997,212.2,,,,
-720556,,216.1,,,
-720284,212.0,,,,
-720089,,211.3,,,
-719740,,218.96,,,
-719640,213.1,,,,
-719458,,219.2,,,
-719368,,206.3,,,
-718954,212.4,,,,
-718641,,217.04,,,
-718387,,195.2,,,
-718197,211.4,,,,
-718137,,212.03,,,
-717844,,187.8,,,
-717517,212.5,,,,
-717337,,200.82,,,
-716841,212.6,,,,
-716829,,184.3,,,
-716828,,193.46,,,
-716114,,192.9,,,
-716005,,189.88,,,
-716004,210.3,,,,
-715398,,198.43,,,
-715222,211.1,,,,
-715115,,205.0,,,
-714754,,208.1,,,
-714636,,210.51,,,
-714460,211.3,,,,
-714360,,213.6,,,
-713806,212.9,,,,
-713800,,222.1,,,
-713615,,227.58,,,
-713230,,217.7,,,
-713166,,223.14,,,
-713075,211.7,,,,
-712454,,227.08,,,
-712424,212.9,,,,
-712338,,221.7,,,
-712116,,227.64,,,
-711893,,222.3,,,
-711785,213.1,,,,
-711362,,223.89,,,
-711137,212.9,,,,
-710883,,218.5,,,
-710545,213.9,,,,
-710294,,224.0,,,
-710071,,224.12,,,
-709965,214.1,,,,
-709471,,218.7,,,
-709449,,225.39,,,
-709391,214.2,,,,
-709154,,218.9,,,
-709033,,224.9,,,
-708773,213.4,,,,
-708506,,227.03,,,
-708287,,220.2,,,
-708180,213.8,,,,
-707960,,230.51,,,
-707730,,219.7,,,
-707594,213.9,,,,
-707504,,231.43,,,
-707010,214.0,,,,
-707009,,234.84,,,
-706463,,233.11,,,
-706424,213.9,,,,
-706250,,233.58,,,
-705847,214.1,,,,
-705694,,233.51,,,
-705361,,238.85,,,
-705264,214.0,,,,
-704761,,236.05,,,
-704709,214.5,,,,
-704543,,236.05,,,
-704459,,228.1,,,
-704191,,228.6,,,
-704152,214.4,,,,
-704103,,237.66,,,
-703777,,237.18,,,
-703589,214.3,,,,
-703460,,228.5,,,
-703294,,235.09,,,
-703103,,234.04,,,
-703023,214.3,233.9,,,
-702632,,233.54,,,
-702456,214.2,,,,
-702301,,232.83,,,
-702261,,231.2,,,
-701984,,231.2,,,
-701903,214.5,,,,
-701846,,232.28,,,
-701519,,233.35,,,
-701434,,232.8,,,
-701363,214.7,,,,
-701060,,230.59,,,
-701038,,232.4,,,
-700823,214.7,,,,
-700784,,232.18,,,
-700431,,230.3,,,
-700291,214.8,,,,
-700251,,232.16,,,
-700208,,229.3,,,
-700043,,230.88,,,
-699773,215.1,,,,
-699656,,228.8,,,
-699575,,232.46,,,
-699319,,235.42,,,
-699292,,228.2,,,
-699271,215.4,,,,
-698865,,236.61,,,
-698794,,227.6,,,
-698773,215.5,,,,
-698535,,236.72,,,
-698439,,228.7,,,
-698269,215.3,,,,
-698154,,237.21,,,
-697959,,226.0,,,
-697915,,239.73,,,
-697770,215.4,,,,
-697683,,227.6,,,
-697489,,239.01,,,
-697288,215.8,,,,
-697266,,238.86,,,
-697152,,227.7,,,
-696930,,226.4,,,
-696818,216.0,,,,
-696803,,241.83,,,
-696556,,240.9,,,
-696436,,228.0,,,
-696330,215.6,,,,
-696170,,231.0,,,
-696089,,241.03,,,
-695836,215.5,,,,
-695797,,239.88,,,
-695710,,232.2,,,
-695392,,238.42,,,
-695381,,232.4,,,
-695336,215.3,,,,
-695140,,239.44,,,
-695013,,232.9,,,
-694820,215.0,,,,
-694767,,235.4,,,
-694695,,238.13,,,
-694485,,238.05,,,
-694337,,234.8,,,
-694318,215.3,,,,
-694112,,234.6,,,
-694032,,238.74,,,
-693812,215.2,,,,
-693782,,236.8,,,
-693668,,237.6,,,
-693433,,236.7,,,
-693319,215.5,,,,
-693309,,239.8,,,
-692999,,239.31,,,
-692991,,236.9,,,
-692842,215.8,,,,
-692722,,235.8,,,
-692587,,240.46,,,
-692367,215.9,,,,
-692350,,234.4,,,
-692330,,239.34,,,
-692118,,235.4,,,
-691889,215.8,,,,
-691871,,237.76,,,
-691689,,234.1,,,
-691624,,243.7,,,
-691483,,234.1,,,
-691415,215.9,,,,
-691127,,238.47,,,
-691040,,234.8,,,
-690944,216.0,,,,
-690882,,239.3,,,
-690815,,232.9,,,
-690464,215.8,,,,
-690388,,235.9,,,
-690368,,243.56,,,
-690107,,235.5,,,
-690018,,239.38,,,
-689987,215.9,,,,
-689722,,236.6,,,
-689520,216.2,,,,
-689518,,238.42,,,
-689482,,235.6,,,
-689272,,239.29,,,
-689049,,234.0,,,
-689046,216.1,,,,
-688821,,240.0,,,
-688786,,236.45,,,
-688565,215.9,,,,
-688525,,235.8,,,
-688344,,234.8,,,
-688107,,235.6,,,
-688082,215.9,,,,
-688001,,232.27,,,
-687743,,232.07,,,
-687653,,239.9,,,
-687602,216.0,,,,
-687354,,235.8,,,
-687208,,230.67,,,
-687112,215.8,,,,
-686931,,234.9,,,
-686860,,227.64,,,
-686702,,235.8,,,
-686622,215.8,,,,
-686350,,227.65,,,
-686245,,233.0,,,
-686143,216.0,,,,
-686050,,226.73,,,
-685999,,232.3,,,
-685645,215.6,,,,
-685520,,228.8,,,
