year,temp
-818144,211.4
-817353,211.4
-816556,211.3
-815744,211.2
-814922,211.0
-814088,210.9
-813279,211.2
-812473,211.2
-811658,211.1
-810834,211.0
-810000,210.9
-809135,210.5
-808252,210.3
-807398,210.7
-806467,209.7
-805498,209.3
-804565,209.7
-803624,209.6
-802712,210.0
-801769,209.6
-800830,209.6
-799883,209.6
-798968,209.9
-798078,210.2
-797262,211.1
-796507,211.9
-795795,212.5
-795101,212.7
-794441,213.2
-793827,214.0
-793246,214.5
-792695,215.1
-792167,215.5
-791649,215.7
-791159,216.3
-790703,217.0
-790264,217.4
-789802,216.9
-789338,216.8
-788868,216.7
-788370,216.1
-787869,216.0
-787353,215.7
-786846,215.9
-786317,215.5
-785782,215.3
-785257,215.5
-784734,215.6
-784209,215.5
-783675,215.4
-783124,215.0
-782572,215.0
-782020,215.0
-781454,214.8
-780859,214.2
-780243,213.9
-779601,213.4
-778944,213.2
-778304,213.5
-777684,213.8
-777095,214.3
-776485,214.0
-775836,213.3
-775139,212.6
-774399,212.0
-773635,211.6
-772891,211.9
-772202,212.7
-771539,213.1
-770901,213.5
-770250,213.3
-769582,213.0
-768877,212.4
-768114,211.6
-767316,211.2
-766503,211.0
-765708,211.2
-764977,212.1
-764265,212.3
-763570,212.6
-762901,212.9
-762263,213.4
-761592,212.9
-760863,212.0
-760064,211.1
-759241,210.8
-758399,210.6
-757534,210.3
-756658,210.1
-755774,210.0
-754887,210.0
-753988,209.9
-753089,209.9
-752198,210.0
-751322,210.1
-750434,210.0
-749542,210.0
-748641,209.8
-747745,209.9
-746871,210.2
-745969,209.8
-745072,209.9
-744188,210.0
-743277,209.7
-742348,209.5
-741410,209.4
-740505,209.8
-739615,210.0
-738723,209.9
-737839,210.0
-736964,210.1
-736134,210.7
-735349,211.2
-734653,212.5
-733986,212.9
-733358,213.5
-732701,213.0
-732078,213.6
-731500,214.4
-730851,213.1
-730252,214.0
-729640,213.7
-729012,213.4
-728426,214.2
-727819,213.8
-727214,213.8
-726575,213.2
-725854,212.0
-725126,211.9
-724461,212.8
-723799,212.8
-723110,212.4
-722412,212.3
-721701,212.1
-720997,212.2
-720284,212.0
-719640,213.1
-718954,212.4
-718197,211.4
-717517,212.5
-716841,212.6
-716004,210.3
-715222,211.1
-714460,211.3
-713806,212.9
-713075,211.7
-712424,212.9
-711785,213.1
-711137,212.9
-710545,213.9
-709965,214.1
-709391,214.2
-708773,213.4
-708180,213.8
-707594,213.9
-707010,214.0
-706424,213.9
-705847,214.1
-705264,214.0
-704709,214.5
-704152,214.4
-703589,214.3
-703023,214.3
-702456,214.2
-701903,214.5
-701363,214.7
-700823,214.7
-700291,214.8
-699773,215.1
-699271,215.4
-698773,215.5
-698269,215.3
-697770,215.4
-697288,215.8
-696818,216.0
-696330,215.6
-695836,215.5
-695336,215.3
-694820,215.0
-694318,215.3
-693812,215.2
-693319,215.5
-692842,215.8
-692367,215.9
-691889,215.8
-691415,215.9
-690944,216.0
-690464,215.8
-689987,215.9
-689520,216.2
-689046,216.1
-688565,215.9
-688082,215.9
-687602,216.0
-687112,215.8
-686622,215.8
-686143,216.0
-685645,215.6
-685165,216.0
-684700,216.3
-684205,215.7
-683695,215.3
-683195,215.6
-682671,215.0
-682152,215.1
-681644,215.3
-681130,215.2
-680586,214.6
-680051,214.7
-679512,214.6
-678966,214.5
-678403,214.1
-677853,214.3
-677304,214.3
-676756,214.3
-676208,214.3
-675638,213.8
-675073,213.9
-674504,213.9
-673920,213.5
-673338,213.6
-672756,213.5
-672159,213.2
-671559,213.2
-670937,212.8
-670303,212.6
-669677,212.7
-669061,212.9
-668426,212.5
-667734,211.6
-667015,211.2
-666273,210.9
-665555,211.2
-664876,211.8
-664231,212.3
-663627,212.9
-663058,213.5
-662420,212.3
-661733,211.5
-661020,211.1
-660362,211.9
-659741,212.5
-659128,212.6
-658457,211.7
-657783,211.7
-657065,211.0
-656338,210.9
-655600,210.7
-654844,210.4
-654103,210.6
-653368,210.7
-652687,211.5
-651996,211.3
-651332,211.7
-650608,210.9
-649826,210.1
-648995,209.5
-648161,209.4
-647321,209.4
-646489,209.5
-645699,210.0
-644952,210.6
-644232,211.0
-643450,210.1
-642641,209.8
-641879,210.4
-641120,210.4
-640394,210.9
-639717,211.6
-639059,211.9
-638389,211.7
-637680,211.1
-636937,210.6
-636199,210.7
-635491,211.1
-634772,210.9
-634094,211.5
-633402,211.3
-632685,210.9
-631972,210.9
-631268,211.0
-630574,211.2
-629821,210.3
-629008,209.5
-628197,209.5
-627401,209.7
-626628,210.0
-625815,209.5
-625005,209.5
-624244,210.2
-623432,209.5
-622630,209.6
-621849,209.9
-621163,211.2
-620576,212.8
-620050,213.9
-619581,215.1
-619153,216.1
-618705,215.5
-618257,215.5
-617799,215.3
-617353,215.6
-616922,216.0
-616498,216.1
-616072,216.0
-615656,216.3
-615218,215.7
-614795,216.1
-614352,215.6
-613921,215.9
-613509,216.4
-613104,216.5
-612709,216.8
-612302,216.5
-611904,216.7
-611505,216.7
-611116,216.9
-610705,216.3
-610294,216.4
-609877,216.2
-609482,216.7
-609078,216.5
-608664,216.2
-608234,215.9
-607794,215.6
-607349,215.5
-606893,215.2
-606396,214.3
-605892,214.2
-605387,214.2
-604863,213.8
-604326,213.5
-603791,213.5
-603244,213.3
-602712,213.5
-602198,213.9
-601630,212.8
-601058,212.8
-600482,212.7
-599869,212.0
-599211,211.3
-598614,212.3
-598061,213.0
-597554,213.9
-597067,214.3
-596554,213.7
-596050,213.9
-595516,213.3
-594982,213.3
-594416,212.6
-593841,212.4
-593310,213.2
-592844,214.6
-592381,214.6
-591882,213.8
-591368,213.5
-590826,212.9
-590235,212.0
-589623,211.6
-589002,211.4
-588450,212.7
-587870,212.0
-587310,212.4
-586744,212.3
-586123,211.3
-585515,211.5
-584942,212.1
-584395,212.5
-583890,213.4
-583414,214.0
-582944,214.1
-582503,214.7
-582087,215.3
-581664,215.1
-581281,216.1
-580917,216.6
-580565,216.9
-580211,216.8
-579859,216.9
-579505,216.8
-579152,216.8
-578803,217.0
-578439,216.5
-578063,216.1
-577696,216.3
-577325,216.2
-576927,215.5
-576545,215.9
-576164,215.9
-575780,215.8
-575395,215.8
-575016,215.9
-574635,215.9
-574259,216.0
-573892,216.2
-573535,216.5
-573183,216.7
-572820,216.3
-572462,216.5
-572104,216.5
-571739,216.3
-571378,216.4
-571002,215.9
-570640,216.4
-570278,216.3
-569905,216.0
-569514,215.5
-569152,216.3
-568784,216.1
-568420,216.2
-568041,215.8
-567665,215.8
-567299,216.1
-566928,215.9
-566567,216.2
-566207,216.2
-565846,216.2
-565484,216.1
-565124,216.2
-564762,216.1
-564395,216.0
-564033,216.1
-563671,216.1
-563303,216.0
-562942,216.2
-562580,216.1
-562230,216.5
-561866,216.1
-561493,215.8
-561128,216.1
-560760,216.0
-560399,216.2
-560033,216.1
-559669,216.2
-559289,215.7
-558917,215.9
-558560,216.4
-558197,216.2
-557818,215.8
-557447,216.0
-557063,215.6
-556686,215.8
-556307,215.7
-555929,215.8
-555552,215.8
-555181,216.0
-554795,215.6
-554403,215.4
-554013,215.4
-553628,215.6
-553246,215.6
-552877,216.0
-552490,215.5
-552087,215.0
-551687,215.1
-551278,214.8
-550873,214.9
-550454,214.5
-550041,214.7
-549620,214.4
-549197,214.4
-548766,214.1
-548334,214.1
-547892,213.8
-547449,213.8
-546983,213.2
-546526,213.4
-546062,213.3
-545585,212.9
-545108,212.9
-544626,212.8
-544138,212.6
-543653,212.7
-543135,212.0
-542593,211.5
-542042,211.3
-541534,212.2
-541036,212.3
-540563,212.9
-540094,212.9
-539647,213.4
-539191,213.1
-538762,213.8
-538344,214.0
-537914,213.7
-537526,214.8
-537150,215.0
-536782,215.3
-536399,214.8
-535998,214.4
-535569,213.6
-535137,213.6
-534685,213.1
-534219,212.8
-533713,211.9
-533207,212.0
-532667,211.2
-532160,211.9
-531651,211.9
-531169,212.5
-530704,212.8
-530216,212.3
-529693,211.6
-529153,211.3
-528612,211.3
-528081,211.5
-527548,211.4
-526966,210.5
-526369,210.3
-525779,210.4
-525202,210.6
-524628,210.6
-524072,210.9
-523521,211.1
-522978,211.2
-522427,211.0
-521868,210.9
-521310,210.9
-520750,210.9
-520186,210.8
-519612,210.6
-519052,210.8
-518534,211.7
-518015,211.6
-517493,211.5
-516974,211.6
-516445,211.4
-515933,211.7
-515393,211.1
-514851,211.1
-514286,210.6
-513733,210.9
-513169,210.6
-512636,211.2
-512094,211.0
-511581,211.6
-511103,212.3
-510653,212.9
-510214,213.1
-509802,213.8
-509394,213.8
-508996,214.1
-508593,213.9
-508178,213.6
-507748,213.2
-507338,213.8
-506914,213.4
-506488,213.3
-506060,213.2
-505653,213.8
-505248,213.8
-504819,213.2
-504412,213.7
-504001,213.6
-503598,213.8
-503184,213.5
-502773,213.5
-502351,213.2
-501976,214.5
-501608,214.6
-501239,214.6
-500872,214.6
-500486,214.1
-500128,214.9
-499760,214.5
-499398,214.7
-499031,214.6
-498663,214.5
-498303,214.7
-497936,214.5
-497569,214.5
-497198,214.4
-496832,214.5
-496448,213.9
-496080,214.4
-495686,213.6
-495291,213.6
-494891,213.5
-494509,213.9
-494125,213.9
-493728,213.5
-493312,213.0
-492896,212.9
-492487,213.1
-492083,213.2
-491655,212.6
-491219,212.4
-490789,212.5
-490359,212.5
-489927,212.4
-489487,212.2
-489049,212.2
-488616,212.3
-488188,212.4
-487766,212.5
-487335,212.3
-486908,212.4
-486473,212.2
-486037,212.1
-485645,213.2
-485267,213.6
-484890,213.6
-484509,213.5
-484126,213.4
-483735,213.2
-483334,212.9
-482929,212.8
-482535,213.1
-482166,213.7
-481810,214.1
-481441,213.6
-481080,213.9
-480714,213.7
-480345,213.6
-479977,213.7
-479619,213.9
-479240,213.3
-478873,213.6
-478508,213.7
-478147,213.8
-477789,213.8
-477430,213.8
-477091,214.3
-476750,214.3
-476405,214.1
-476064,214.2
-475719,214.1
-475384,214.4
-475040,214.1
-474701,214.2
-474365,214.3
-474034,214.4
-473696,214.2
-473359,214.2
-473023,214.2
-472696,214.5
-472359,214.1
-472039,214.7
-471714,214.5
-471390,214.5
-471066,214.5
-470748,214.7
-470430,214.7
-470122,215.0
-469818,215.1
-469524,215.5
-469234,215.6
-468946,215.7
-468654,215.5
-468360,215.4
-468094,216.5
-467798,215.3
-467505,215.5
-467208,215.3
-466906,215.1
-466602,215.1
-466285,214.6
-465962,214.4
-465640,214.5
-465316,214.4
-464989,214.3
-464668,214.5
-464335,214.1
-464002,214.1
-463657,213.7
-463317,213.9
-462966,213.5
-462608,213.3
-462230,212.8
-461866,213.1
-461495,213.0
-461117,212.8
-460719,212.2
-460313,212.0
-459936,212.8
-459579,213.3
-459246,214.0
-458905,213.8
-458551,213.4
-458180,212.9
-457785,212.3
-457356,211.4
-456913,211.0
-456505,211.9
-456122,212.6
-455772,213.5
-455445,214.2
-455090,213.2
-454721,212.9
-454311,211.8
-453864,210.9
-453448,211.7
-452987,210.6
-452479,209.5
-452001,210.2
-451518,210.0
-451022,209.7
-450530,209.8
-450048,210.0
-449606,210.9
-449156,210.7
-448728,211.2
-448287,210.9
-447813,210.1
-447336,210.0
-446854,209.9
-446358,209.6
-445849,209.3
-445360,209.7
-444864,209.5
-444401,210.2
-443973,211.0
-443563,211.4
-443160,211.6
-442743,211.2
-442324,211.2
-441879,210.5
-441468,211.3
-441071,211.7
-440626,210.5
-440193,210.8
-439776,211.1
-439358,211.1
-438929,210.8
-438540,211.8
-438160,212.1
-437786,212.2
-437362,210.9
-436931,210.7
-436508,210.9
-436085,210.9
-435650,210.6
-435242,211.3
-434810,210.6
-434358,210.2
-433907,210.2
-433466,210.4
-433006,210.0
-432542,209.9
-432086,210.1
-431624,209.9
-431136,209.4
-430663,209.7
-430218,210.3
-429787,210.6
-429318,209.7
-428878,210.4
-428419,209.9
-427974,210.2
-427567,211.2
-427125,210.3
-426673,210.0
-426228,210.2
-425769,209.9
-425325,210.2
-424886,210.3
-424469,210.8
-424083,211.6
-423706,211.8
-423383,213.5
-423033,212.5
-422719,213.7
-422405,213.6
-422124,214.8
-421858,215.4
-421607,216.0
-421339,215.2
-421093,216.1
-420866,217.0
-420640,217.0
-420428,217.6
-420224,218.0
-420028,218.4
-419828,218.2
-419605,217.1
-419361,216.1
-419124,216.4
-418873,215.8
-418629,216.1
-418398,216.6
-418164,216.5
-417921,216.1
-417682,216.2
-417453,216.7
-417222,216.5
-417004,217.1
-416790,217.2
-416581,217.5
-416369,217.3
-416154,217.2
-415949,217.7
-415740,217.4
-415533,217.5
-415344,218.5
-415138,217.4
-414935,217.7
-414734,217.7
-414543,218.3
-414347,218.0
-414153,218.0
-413966,218.4
-413776,218.2
-413581,217.9
-413390,218.2
-413192,217.6
-412996,217.8
-412801,217.8
-412611,218.1
-412413,217.6
-412216,217.6
-412023,217.9
-411828,217.7
-411626,217.4
-411437,218.0
-411250,218.2
-411060,217.9
-410872,218.0
-410693,218.6
-410501,217.7
-410312,217.9
-410124,218.0
-409934,217.8
-409746,217.9
-409571,218.7
-409403,219.1
-409230,218.7
-409056,218.7
-408882,218.6
-408713,219.0
-408542,218.8
-408372,218.9
-408207,219.2
-408037,218.8
-407872,219.2
-407712,219.4
-407553,219.6
-407390,219.2
-407235,219.7
-407079,219.7
-406918,219.3
-406751,219.0
-406587,219.2
-406426,219.3
-406274,219.8
-406117,219.6
-405956,219.2
-405807,220.2
-405646,219.1
-405495,220.0
-405346,220.1
-405186,219.2
-405030,219.5
-404864,218.9
-404705,219.3
-404552,219.8
-404400,219.7
-404245,219.5
-404089,219.5
-403925,219.0
-403766,219.3
-403601,218.8
-403437,218.9
-403277,219.1
-403121,219.4
-402954,218.7
-402793,219.1
-402635,219.2
-402473,219.0
-402316,219.3
-402157,219.1
-402004,219.6
-401846,219.2
-401687,219.1
-401522,218.8
-401353,218.5
-401193,219.2
-401025,218.6
-400857,218.6
-400689,218.6
-400521,218.6
-400355,218.8
-400178,218.0
-399997,217.8
-399821,218.2
-399652,218.6
-399478,218.2
-399294,217.7
-399108,217.5
-398918,217.4
-398728,217.3
-398531,217.0
-398347,217.7
-398159,217.4
-397972,217.5
-397766,216.5
-397554,216.2
-397355,216.9
-397157,216.9
-396968,217.4
-396769,216.9
-396571,216.9
-396369,216.7
-396168,216.8
