year,rainfall_ireland
1711,90.97
1712,104.38
1713,81.87
1714,73.68
1715,104.83
1716,87.2
1717,85.81
1718,79.7
1719,79.9
1720,101.7
1721,94.77
1722,94.48
1723,71.97
1724,101.95
1725,100.0
1726,91.87
1727,97.19
1728,99.27
1729,92.15
1730,100.26
1731,74.84
1732,93.68
1733,100.98
1734,98.26
1735,111.13
1736,85.47
1737,92.23
1738,106.63
1739,93.13
1740,64.75
1741,68.82
1742,78.46
1743,84.41
1744,94.57
1745,90.52
1746,83.4
1747,68.08
1748,74.3
1749,75.57
1750,84.41
1751,94.49
1752,89.89
1753,91.6
1754,86.92
1755,100.0
1756,107.99
1757,86.12
1758,91.78
1759,74.41
1760,96.02
1761,83.22
1762,73.58
1763,102.23
1764,95.76
1765,80.34
1766,75.28
1767,88.72
1768,117.28
1769,84.29
1770,97.36
1771,74.85
1772,96.73
1773,99.43
1774,82.05
1775,104.15
1776,86.38
1777,85.93
1778,100.0
1779,87.38
1780,74.42
1781,81.25
1782,101.52
1783,90.53
1784,78.18
1785,75.12
1786,80.71
1787,93.32
1788,58.08
1789,101.42
1790,88.02
1791,92.68
1792,108.98
1793,79.53
1794,103.04
1795,91.33
1796,75.03
1797,88.63
1798,82.41
1799,89.63
1800,82.62
1801,84.66
1802,89.78
1803,68.46
1804,95.64
1805,75.84
1806,96.58
1807,90.52
1808,85.57
1809,97.01
1810,83.68
1811,96.92
1812,89.89
1813,85.21
1814,88.18
1815,86.48
1816,97.09
1817,93.14
1818,100.07
1819,95.19
1820,80.81
1821,90.79
1822,96.47
1823,97.46
1824,84.58
1825,85.47
1826,73.79
1827,87.64
1828,101.7
1829,81.6
1830,83.5
1831,93.86
1832,79.55
1833,96.73
1834,84.39
1835,91.88
1836,91.98
1837,83.06
1838,86.2
1839,95.93
1840,76.38
1841,86.66
1842,82.6
1843,82.14
1844,78.82
1845,90.07
1846,98.62
1847,85.74
1848,98.8
1849,90.0
1850,85.08
1851,82.93
1852,112.38
1853,86.69
1854,74.94
1855,68.83
1856,79.21
1857,80.28
1858,82.2
1859,82.43
1860,95.32
1861,104.13
1862,100.34
1863,92.37
1864,77.07
1865,94.91
1866,91.8
1867,84.39
1868,95.62
1869,89.6
1870,77.41
1871,89.7
1872,117.08
1873,87.12
1874,87.41
1875,93.82
1876,100.57
1877,110.82
1878,85.33
1879,89.19
1880,89.59
1881,95.7
1882,104.38
1883,101.22
1884,88.85
1885,84.6
1886,99.22
1887,65.75
1888,88.82
1889,84.02
1890,87.26
1891,86.84
1892,87.52
1893,71.38
1894,90.64
1895,88.41
1896,84.28
1897,101.43
1898,88.58
1899,91.32
1900,101.48
1901,85.5
1902,82.75
1903,111.27
1904,87.02
1905,77.66
1906,80.68
1907,87.28
1908,85.94
1909,79.96
1910,94.02
1911,84.94
1912,93.66
1913,93.13
1914,93.61
1915,89.22
1916,99.46
1917,85.04
1918,95.15
1919,76.45
1920,97.9
1921,74.75
1922,80.08
1923,97.01
1924,107.82
1925,85.42
1926,86.38
1927,95.38
1928,111.42
1929,94.58
1930,103.16
1931,97.67
1932,84.51
1933,68.42
1934,92.0
1935,85.39
1936,92.42
1937,91.48
1938,100.28
1939,86.42
1940,93.3
1941,80.28
1942,86.66
1943,88.28
1944,88.56
1945,85.52
1946,101.18
1947,103.95
1948,101.81
1949,81.07
1950,97.53
1951,97.59
1952,77.43
1953,74.74
1954,103.46
1955,81.58
1956,88.84
1957,92.4
1958,106.74
1959,84.6
1960,110.68
1961,89.01
1962,84.73
1963,87.44
1964,87.86
1965,98.21
1966,103.27
1967,91.75
1968,92.0
1969,78.33
1970,87.76
1971,70.35
1972,88.11
1973,81.57
1974,94.75
1975,72.63
1976,84.22
1977,96.99
1978,91.65
1979,96.38
1980,99.53
1981,95.72
1982,104.23
1983,89.08
1984,88.48
1985,95.63
1986,102.1
1987,84.77
1988,97.85
1989,84.27
1990,91.74
1991,84.64
1992,88.36
1993,97.19
1994,103.05
1995,91.98
1996,93.99
1997,93.87
1998,104.79
1999,96.11
2000,99.64
2001,77.06
2002,116.11
2003,77.9
2004,87.78
2005,87.48
2006,98.46
2007,88.88
2008,104.13
2009,114.63
2010,82.31
2011,93.88
2012,98.64
2013,93.04
2014,105.23
2015,112.17
