year,temp_ireland
1851,12.0
1852,8.0
1853,
1854,
1855,13.0
1856,8.0
1857,
1858,
1859,
1860,
1861,14.0
1862,
1863,15.0
1864,14.0
1865,15.0
1866,15.0
1867,14.0
1868,14.0
1869,14.0
1870,14.0
1871,11.0
1872,14.0
1873,14.0
1874,14.0
1875,14.0
1876,14.0
1877,14.0
1878,14.0
1879,12.0
1880,14.0
1881,13.0
1882,13.0
1883,13.0
1884,14.0
1885,12.0
1886,12.0
1887,13.0
1888,12.0
1889,13.0
1890,13.0
1891,12.0
1892,12.0
1893,14.0
1894,13.0
1895,13.0
1896,13.0
1897,13.0
1898,13.0
1899,13.0
1900,13.0
1901,13.0
1902,12.0
1903,12.0
1904,13.0
1905,13.0
1906,13.0
1907,13.0
1908,13.0
1909,13.0
1910,13.0
1911,13.0
1912,13.0
1913,13.0
1914,13.0
1915,12.0
1916,12.0
1917,12.0
1918,13.0
1919,13.0
1920,13.0
1921,13.0
1922,12.0
1923,12.0
1924,12.0
1925,12.0
1926,13.0
1927,12.0
1928,13.0
1929,12.0
1930,12.0
1931,12.0
1932,12.0
1933,13.0
1934,13.0
1935,12.0
1936,12.0
1937,12.0
1938,12.0
1939,13.0
1940,13.0
1941,12.0
1942,12.0
1943,13.0
1944,12.0
1945,13.0
1946,12.0
1947,12.0
1948,12.0
1949,13.0
1950,12.0
1951,12.0
1952,12.0
1953,12.0
1954,12.0
1955,12.0
1956,13.0
