year,max temp
1872.0,
1872.0,
1872.0,
1872.0,
1872.0,
1872.0,
1872.0,
1872.0,
1872.0,
1872.0,
1872.0,
1872.0,
1872.0,10.0
1872.0,8.9
1872.0,8.9
1872.0,10.6
1872.0,11.1
1872.0,10.0
1872.0,6.1
1872.0,6.7
1872.0,11.7
1872.0,9.4
1872.0,8.9
1872.0,8.3
1872.0,8.3
1872.0,7.8
1872.0,8.9
1872.0,10.6
1872.0,11.1
1872.0,11.1
1872.0,11.1
1872.0,10.6
1872.0,9.4
1872.0,8.9
1872.0,10.0
1872.0,8.9
1872.0,9.4
1872.0,9.4
1872.0,
1872.0,11.1
1872.0,10.0
1872.0,10.0
1872.0,11.1
1872.0,10.6
1872.0,10.0
1872.0,9.4
1872.0,9.4
1872.0,9.4
1872.0,8.3
1872.0,8.9
1872.0,9.4
1872.0,10.0
1872.0,11.1
1872.0,11.1
1872.0,11.1
1872.0,9.4
1872.0,10.6
1872.0,
1872.0,
1872.0,
1872.0,
1872.0,
1872.0,
1872.0,
1872.0,
1872.0,
1872.0,
1872.0,
1872.0,12.2
1872.0,11.1
1872.0,11.7
1872.0,11.1
1872.0,11.1
1872.0,11.1
1872.0,10.6
1872.0,12.8
1872.0,10.6
1872.0,11.1
1872.0,11.7
1872.0,11.1
1872.0,6.7
1872.0,6.7
1872.0,6.1
1872.0,5.6
1872.0,7.2
1872.0,7.8
1872.0,11.7
1872.0,12.2
1872.0,13.9
1872.0,13.9
1872.0,13.3
1872.0,12.2
1872.0,11.1
1872.0,12.2
1872.0,13.3
1872.0,13.9
1872.0,13.9
1872.0,13.9
1872.0,14.4
1872.0,15.0
1872.0,14.4
1872.0,13.3
1872.0,13.3
1872.0,15.0
1872.0,15.6
1872.0,16.7
1872.0,13.9
1872.0,13.9
1872.0,12.8
1872.0,10.0
1872.0,9.4
1872.0,8.9
1872.0,9.4
1872.0,11.7
1872.0,11.1
1872.0,11.1
1872.0,10.6
1872.0,13.9
1872.0,14.4
1872.0,15.0
1872.0,
1872.0,14.4
1872.0,15.6
1872.0,15.0
1872.0,13.9
1872.0,13.9
1872.0,14.4
1872.0,13.3
1872.0,12.8
1872.0,12.2
1872.0,15.0
1872.0,13.9
1872.0,13.3
1872.0,15.0
1872.0,17.8
1872.0,18.3
1872.0,18.9
1872.0,14.4
1872.0,14.4
1872.0,12.2
1872.0,12.2
1872.0,14.4
1872.0,12.8
1872.0,13.3
1872.0,14.4
1872.0,17.8
1872.0,18.9
1872.0,20.0
1872.0,19.4
1872.0,18.3
1872.0,16.7
1872.0,15.0
1872.0,14.4
1872.0,14.4
1872.0,13.9
1872.0,17.8
1872.0,15.6
1872.0,14.4
1872.0,15.0
1872.0,13.9
1872.0,14.4
1872.0,15.0
1872.0,15.0
1872.0,17.8
1872.0,20.0
1872.0,20.6
1872.0,20.0
1872.0,18.3
1872.0,18.3
1872.0,18.9
1872.0,20.6
1872.0,20.0
1872.0,20.0
1872.0,20.0
1872.0,18.9
1872.0,16.7
1872.0,16.1
1872.0,16.7
1872.0,17.2
1872.0,17.8
1872.0,22.2
1872.0,17.8
1872.0,17.2
1872.0,21.1
1872.0,20.0
1872.0,21.1
1872.0,20.6
1872.0,26.7
1872.0,20.0
1872.0,19.4
1872.0,21.1
1872.0,20.0
1872.0,18.9
1872.0,20.0
1872.0,21.7
1872.0,23.3
1872.0,23.3
1872.0,22.8
1872.0,23.3
1872.0,22.2
1872.0,20.6
1872.0,20.6
1872.0,21.1
1872.0,21.7
1872.0,22.8
1872.0,23.9
1872.0,20.0
1872.0,20.0
1872.0,20.0
1872.0,20.0
1872.0,18.9
1872.0,22.2
1872.0,20.0
1872.0,19.4
1872.0,19.4
1872.0,19.4
1872.0,17.8
1872.0,19.4
1872.0,20.0
1872.0,18.9
1872.0,17.8
1872.0,18.3
1872.0,17.8
1872.0,17.2
1872.0,17.8
1872.0,20.6
1872.0,21.1
1872.0,19.4
1872.0,19.4
1872.0,19.4
1872.0,20.6
1872.0,21.7
1872.0,21.1
1872.0,21.1
1872.0,20.0
1872.0,21.1
1872.0,22.2
1872.0,20.0
1872.0,19.4
1872.0,21.7
1872.0,20.0
1872.0,19.4
1872.0,18.9
1872.0,18.3
1872.0,18.3
1872.0,20.0
1872.0,19.4
1872.0,20.0
1872.0,20.6
1872.0,17.2
1872.0,19.4
1872.0,18.9
1872.0,17.2
1872.0,17.8
1872.0,19.4
1872.0,20.0
1872.0,20.6
1872.0,19.4
1872.0,18.3
1872.0,18.9
1872.0,17.8
1872.0,16.7
1872.0,13.9
1872.0,14.4
1872.0,12.8
1872.0,12.8
1872.0,14.4
1872.0,13.9
1872.0,12.8
1872.0,15.0
1872.0,15.6
1872.0,16.1
1872.0,16.1
1872.0,15.6
1872.0,15.6
1872.0,14.4
1872.0,11.7
1872.0,11.1
1872.0,11.7
1872.0,14.4
1872.0,14.4
1872.0,14.4
1872.0,12.8
1872.0,12.8
1872.0,10.0
1872.0,11.1
1872.0,11.1
1872.0,11.1
1872.0,10.6
1872.0,9.4
1872.0,8.9
1872.0,11.1
1872.0,12.2
1872.0,11.1
1872.0,10.6
1872.0,10.0
1872.0,11.7
1872.0,11.1
1872.0,11.7
1872.0,13.3
1872.0,11.7
1872.0,12.8
1872.0,13.3
1872.0,11.7
1872.0,12.2
1872.0,11.1
1872.0,12.2
1872.0,11.7
1872.0,13.3
1872.0,13.9
1872.0,13.9
1872.0,12.8
1872.0,12.2
1872.0,11.1
1872.0,8.3
1872.0,7.8
1872.0,7.8
1872.0,6.7
1872.0,5.0
1872.0,7.8
1872.0,8.3
1872.0,9.4
1872.0,8.9
1872.0,11.1
1872.0,11.1
1872.0,8.9
1872.0,11.1
1872.0,10.0
1872.0,10.0
1872.0,11.7
1872.0,11.7
1872.0,10.6
1872.0,11.1
1872.0,11.1
1872.0,10.0
1872.0,9.4
1872.0,10.0
1872.0,7.8
1872.0,8.9
1872.0,11.1
1872.0,8.9
1872.0,9.4
1872.0,9.4
1872.0,8.9
1872.0,6.7
1872.0,5.6
1872.0,8.9
1872.0,8.3
1872.0,6.7
1872.0,11.1
1872.0,8.9
1872.0,8.3
1872.0,8.9
1872.0,8.9
1872.0,9.4
1872.0,11.1
1872.0,11.1
1872.0,11.1
1872.0,10.0
1872.0,9.4
1872.0,10.0
1872.0,10.0
1872.0,10.0
1872.0,8.9
1872.0,9.4
1872.0,8.9
1873.0,9.4
1873.0,8.9
1873.0,8.9
1873.0,8.9
1873.0,10.0
1873.0,10.0
1873.0,10.0
1873.0,9.4
1873.0,10.0
1873.0,10.0
1873.0,10.0
1873.0,11.1
1873.0,11.1
1873.0,10.6
1873.0,10.0
1873.0,7.8
1873.0,8.9
1873.0,9.4
1873.0,5.6
1873.0,3.9
1873.0,6.7
1873.0,7.2
1873.0,7.8
1873.0,7.2
1873.0,9.4
1873.0,9.4
1873.0,9.4
1873.0,10.0
1873.0,8.9
1873.0,6.1
1873.0,7.8
1873.0,6.7
1873.0,0.0
1873.0,1.7
1873.0,5.6
1873.0,6.1
1873.0,5.6
1873.0,5.0
1873.0,5.6
1873.0,5.6
1873.0,6.7
1873.0,6.7
1873.0,7.2
1873.0,7.8
1873.0,7.8
1873.0,8.9
1873.0,9.4
1873.0,10.0
1873.0,10.0
1873.0,9.4
1873.0,9.4
