year,temp,co2
2000.0,218.3,
1994.0,218.3,
1987.0,218.3,
1982.0,218.3,
1975.0,218.3,
1968.0,218.3,
1961.0,218.3,
1953.0,218.3,
1945.0,218.3,
1936.0,218.3,
1928.0,218.3,
1919.0,218.3,
1911.0,218.3,
1903.0,219.2,
1895.0,220.4,
1886.0,217.7,
1877.0,217.0,
1868.0,217.4,
1860.0,217.4,
1850.0,216.9,
1840.0,218.2,
1831.0,216.8,
1821.0,216.3,
1810.0,217.8,
1800.0,217.0,
1789.0,218.4,
1779.0,217.7,
1768.0,216.7,
1758.0,216.2,
1748.0,217.9,
1737.0,215.0,
1727.0,217.8,
1716.0,218.2,
1705.0,218.1,
1694.0,217.4,
1683.0,217.3,
1672.0,216.0,
1661.0,217.1,
1649.0,217.6,
1637.0,216.2,
1626.0,217.0,
1614.0,216.8,
1603.0,217.4,
1591.0,216.7,
1579.0,216.5,
1567.0,215.9,
1555.0,216.9,
1543.0,217.3,
1531.0,217.6,
1520.0,215.7,
1507.0,217.6,
1496.0,217.5,
1484.0,216.8,
1472.0,216.6,
1460.0,217.8,
1447.0,215.0,
1434.0,216.5,
1421.0,217.0,
1407.0,218.7,
1394.0,218.1,
1382.0,216.6,
1369.0,218.8,
1356.0,216.5,
1344.0,216.6,
1331.0,218.9,
1318.0,218.4,
1305.0,217.7,
1292.0,216.4,
1278.0,216.8,
1263.0,216.8,
1249.0,216.9,
1235.0,216.4,
1220.0,216.0,
1205.0,216.5,
1191.0,217.3,
1178.0,217.2,
1164.0,217.7,
1151.0,217.4,
1138.0,218.0,
1126.0,218.3,
1113.0,218.6,
1101.0,218.9,
1088.0,216.4,
1075.0,218.0,
1061.0,216.0,
1046.0,218.3,
1032.0,216.4,
1018.0,216.7,
1003.0,216.9,
989.0,216.7,
975.0,217.8,
960.0,217.0,
946.0,217.0,
931.0,216.5,
918.0,217.6,
903.0,218.4,
889.0,217.8,
875.0,216.7,
861.0,216.6,
846.0,218.1,
832.0,216.9,
818.0,219.0,
804.0,216.5,
790.0,217.1,
776.0,218.3,
762.0,218.4,
749.0,218.3,
735.0,216.9,
721.0,218.0,
707.0,217.8,
692.0,217.7,
677.0,217.3,
663.0,217.1,
648.0,218.6,
634.0,217.6,
620.0,218.3,
606.0,217.3,
592.0,219.0,
578.0,218.3,
564.0,217.3,
550.0,217.4,
534.0,216.9,
518.0,216.7,
503.0,217.0,
487.0,218.5,
472.0,216.5,
456.0,217.1,
441.0,216.9,
425.0,217.2,
410.0,218.3,
394.0,216.5,
378.0,217.5,
362.0,217.7,
346.0,216.3,
329.0,216.6,
313.0,218.2,
296.0,216.2,
280.0,217.8,
264.0,217.8,
248.0,216.6,
231.0,216.9,
214.0,217.3,
197.0,217.5,
181.0,218.0,
164.0,216.0,
147.0,217.7,
129.0,216.4,
