year,temp
1959.0,315.98
1960.0,316.91
1961.0,317.64
1962.0,318.45
1963.0,318.99
1964.0,319.62
1965.0,320.04
1966.0,321.37
1967.0,322.18
1968.0,323.05
1969.0,324.62
1970.0,325.68
1971.0,326.32
1972.0,327.46
1973.0,329.68
1974.0,330.19
1975.0,331.13
1976.0,332.03
1977.0,333.84
1978.0,335.41
1979.0,336.84
1980.0,338.76
1981.0,340.12
1982.0,341.48
1983.0,343.15
1984.0,344.87
1985.0,346.35
1986.0,347.61
1987.0,349.31
1988.0,351.69
1989.0,353.2
1990.0,354.45
1991.0,355.7
1992.0,356.54
1993.0,357.21
1994.0,358.96
1995.0,360.97
1996.0,362.74
1997.0,363.88
1998.0,366.84
1999.0,368.54
2000.0,369.71
2001.0,371.32
2002.0,373.45
2003.0,375.98
2004.0,377.7
2005.0,379.98
2006.0,382.09
2007.0,384.02
2008.0,385.83
2009.0,387.64
2010.0,390.1
2011.0,391.85
2012.0,394.06
2013.0,396.74
2014.0,398.81
2015.0,401.01
2016.0,404.41
2017.0,406.76
2018.0,408.72
2019.0,411.65
2020.0,414.21
2021.0,416.41
2022.0,418.53
