year,co2
-803719,207.29
-803182,202.23
-802573,204.86
-802060,207.5
-801975,202.92
-801759,202.65
-800922,198.66
-799286,198.68
-796731,200.49
-796562,191.0
-795429,197.91
-795149,188.4
-794903,198.79
-794517,189.3
-793737,204.62
-793252,195.2
-793172,208.79
-792658,199.4
-791903,218.39
-791569,213.36
-791310,209.0
-790993,204.0
-790667,214.45
-790131,205.1
-790081,224.69
-789541,215.4
-789107,230.55
-788689,227.38
-788588,221.3
-788203,218.2
-788003,235.49
-787544,238.64
-787431,226.3
-786937,229.5
-786742,257.02
-786529,257.2
-786083,247.9
-785855,248.1
-785854,266.0
-785406,269.36
-785126,256.9
-784637,260.3
-784613,264.35
-784240,262.23
-783839,255.4
-783569,259.66
-783463,253.3
-783084,255.85
-782742,250.7
-782312,260.92
-782197,246.9
-781313,252.1
-781249,255.02
-780778,257.44
-780109,246.2
-779937,251.51
-779613,257.21
-779585,248.7
-778769,252.52
-778662,242.8
-778318,248.5
-778239,254.43
-777418,254.69
-777414,243.9
-777108,254.93
-776848,245.8
-776283,252.46
-775950,246.1
-775732,247.3
-775606,246.3
-774833,248.92
-774686,243.9
-774382,245.32
-774087,238.8
-773588,241.74
-773101,240.5
-773009,238.39
-772598,236.9
-772094,239.23
-771734,237.78
-771730,233.3
-771300,246.03
-771093,230.0
-771046,243.85
-770788,246.49
-770525,243.89
-770225,239.71
-770126,230.9
-769863,234.24
-769758,229.5
-769569,236.32
-769310,237.7
-769071,229.56
-769044,235.6
-768774,238.2
-768649,230.63
-768497,235.6
-768183,231.5
-767837,226.0
-767701,225.87
-767564,228.1
-767111,221.64
-767100,221.4
-766705,222.4
-766167,223.82
-765797,224.86
-765787,217.7
-765146,213.5
-764859,230.62
-764238,232.12
-764160,215.7
-763901,229.41
-763785,216.8
-763637,233.66
-763232,222.93
-762883,222.6
-762727,223.89
-762299,224.1
-761984,221.4
-761821,219.95
-761736,225.7
-761369,215.0
-761152,214.0
-760921,216.0
-760216,214.69
-760114,212.0
-759914,216.64
-759503,206.1
-758990,222.71
-758566,225.62
-758550,206.9
-758252,208.8
-758158,225.37
-757928,223.02
-757612,226.94
-757356,214.9
-757186,222.72
-756933,217.9
-756525,217.6
-756412,218.35
-756309,215.3
-756012,219.2
-755835,213.61
-755611,215.0
-754921,210.7
-754901,209.45
-754616,208.1
-754407,206.0
-753637,203.3
-753545,201.9
-753291,200.5
-753165,199.05
-752444,195.8
-752034,191.5
-751985,203.9
-751539,195.43
-751028,196.5
-750655,188.0
-750616,197.5
-750024,193.55
-749880,190.1
-749351,186.2
-749086,191.3
-748756,192.08
-748526,184.0
-748244,184.8
-747864,190.17
-747451,182.9
-747313,188.68
-746963,181.4
-746387,187.54
-746151,180.4
-745990,187.95
-745809,180.8
-745227,187.92
-745160,180.8
-744693,183.1
-744670,190.24
-743886,180.2
-743721,187.29
-742893,182.0
-742573,188.97
-742404,181.2
-742009,188.18
-741639,180.4
-741283,181.7
-741112,187.33
-740695,188.65
-740608,182.3
-740125,177.9
-739924,189.14
-739380,184.77
-739357,176.6
-739071,178.6
-738511,183.39
-738327,178.9
-738156,185.4
-737892,185.0
-737225,185.61
-737187,197.8
-736894,200.3
-736631,191.74
-736322,206.5
-735939,210.6
-735710,204.52
-735320,206.92
-735316,211.3
-735084,208.1
-734572,213.14
-734510,209.7
-734157,217.19
-734129,204.1
-733509,201.3
-733460,217.88
-733217,201.7
-733185,214.66
-732654,207.4
-732513,216.15
-732273,205.3
-732072,210.6
-731593,204.4
-731379,207.72
-731311,203.9
-731044,208.11
-730598,205.9
-730372,213.73
-730191,203.8
-729911,211.62
-729379,204.9
-729234,210.7
-728999,204.1
-728958,210.16
-728349,204.0
-728310,212.17
-727887,210.01
-727038,211.08
-726971,205.4
-726644,210.24
-726618,205.1
-725948,210.07
-725782,205.5
-725242,204.5
-724627,211.43
-724372,208.1
-724300,211.08
-723987,206.6
-723524,211.49
-723109,206.3
-723025,210.48
-722495,210.3
-722192,214.01
-721830,212.55
-721514,213.2
-721183,213.4
-721045,212.11
-720556,216.1
-720089,211.3
-719740,218.96
-719458,219.2
-719368,206.3
-718641,217.04
-718387,195.2
-718137,212.03
-717844,187.8
-717337,200.82
-716829,184.3
-716828,193.46
-716114,192.9
-716005,189.88
-715398,198.43
-715115,205.0
-714754,208.1
-714636,210.51
-714360,213.6
-713800,222.1
-713615,227.58
-713230,217.7
-713166,223.14
-712454,227.08
-712338,221.7
-712116,227.64
-711893,222.3
-711362,223.89
-710883,218.5
-710294,224.0
-710071,224.12
-709471,218.7
-709449,225.39
-709154,218.9
-709033,224.9
-708506,227.03
-708287,220.2
-707960,230.51
-707730,219.7
-707504,231.43
-707009,234.84
-706463,233.11
-706250,233.58
-705694,233.51
-705361,238.85
-704761,236.05
-704543,236.05
-704459,228.1
-704191,228.6
-704103,237.66
-703777,237.18
-703460,228.5
-703294,235.09
-703103,234.04
-703023,233.9
-702632,233.54
-702301,232.83
-702261,231.2
-701984,231.2
-701846,232.28
-701519,233.35
-701434,232.8
-701060,230.59
-701038,232.4
-700784,232.18
-700431,230.3
-700251,232.16
-700208,229.3
-700043,230.88
-699656,228.8
-699575,232.46
-699319,235.42
-699292,228.2
-698865,236.61
-698794,227.6
